component,explained_variance_ratio,cumulative_explained_variance
1,0.8294979,0.8294979
2,0.016440315,0.8459382
3,0.010768571,0.8567068
4,0.010075145,0.86678195
5,0.008126742,0.8749087
6,0.0077443477,0.88265306
7,0.0062712245,0.8889243
8,0.0048960117,0.8938203
9,0.003916941,0.8977372
10,0.0035709594,0.9013082
11,0.0034170265,0.9047252
12,0.0033810644,0.90810627
13,0.0030398713,0.91114616
14,0.0029065467,0.9140527
15,0.0026942028,0.9167469
16,0.0024609277,0.9192079
17,0.0021268541,0.92133474
18,0.0020940083,0.9234288
19,0.0020474538,0.92547625
20,0.0019493132,0.92742556
21,0.00179399,0.92921954
22,0.0017473116,0.93096685
23,0.0016296235,0.9325965
24,0.0016132697,0.93420976
25,0.0015319195,0.93574166
26,0.0014555113,0.93719715
27,0.0014236469,0.9386208
28,0.0013205851,0.9399414
29,0.0013039798,0.9412454
30,0.0012231213,0.9424685
31,0.0011654556,0.943634
32,0.0011339122,0.9447679
33,0.0010898517,0.94585776
34,0.001058511,0.9469163
35,0.0010274043,0.9479437
36,0.0010040263,0.9489477
37,0.00095039484,0.9498981
38,0.0009261022,0.9508242
